,timestamp,Node 2,Node 9,Node 11,Node 12,Node 13,Node 21,Node 22,Node 23,Node 31,Node 32,Link 9,Link 10,Link 11,Link 12,Link 21,Link 22,Link 31,Link 110,Link 111,Link 112,Link 113,Link 121,Link 122,Pressure 2,Pressure 10,Pressure 11,Pressure 12,Pressure 13,Pressure 21,Pressure 22,Pressure 23,Pressure 31,Pressure 32
0,2017-01-01 00:00:00,277.2,-417.6,21.6,25.2,14.4,18.0,21.6,21.6,14.4,10.8,417.6,417.6,21.6,10.8,57.6,21.6,10.8,-277.2,100.8,-14.4,-0.0,25.2,0.0,36.576,90.568,85.508,82.355,83.794,83.792,83.918,85.32,83.234,79.317
1,2017-01-01 00:30:00,288.0,-414.0,18.0,21.6,14.4,14.4,18.0,18.0,14.4,10.8,414.0,414.0,18.0,10.8,57.6,21.6,10.8,-288.0,97.2,-18.0,-3.6,25.2,0.0,37.319,91.209,86.228,83.101,84.564,84.597,84.7,86.101,84.056,80.119
2,2017-01-01 01:00:00,298.8,-410.4,14.4,18.0,10.8,14.4,18.0,18.0,10.8,10.8,410.4,410.4,14.4,7.2,61.2,21.6,10.8,-298.8,97.2,-25.2,-3.6,21.6,-0.0,38.089,91.954,87.063,83.876,85.372,85.542,85.519,86.917,85.06,80.959
3,2017-01-01 01:30:00,309.6,-406.8,10.8,18.0,7.2,10.8,14.4,14.4,10.8,7.2,406.8,406.8,10.8,3.6,61.2,21.6,10.8,-309.6,97.2,-28.8,-7.2,21.6,-3.6,38.892,92.649,87.843,84.684,86.204,86.459,86.384,87.781,85.989,81.872
4,2017-01-01 02:00:00,313.2,-403.2,14.4,18.0,7.2,10.8,10.8,14.4,10.8,7.2,403.2,403.2,14.4,0.0,64.8,21.6,10.8,-313.2,93.6,-32.4,-7.2,21.6,-3.6,39.721,93.297,88.57,85.515,87.039,87.326,87.246,88.649,86.892,82.784
5,2017-01-01 02:30:00,309.6,-399.6,14.4,18.0,7.2,10.8,10.8,14.4,10.8,7.2,399.6,399.6,14.4,-0.0,61.2,21.6,10.8,-309.6,93.6,-32.4,-7.2,21.6,-3.6,40.564,93.947,89.3,86.356,87.881,88.144,88.088,89.49,87.74,83.653
6,2017-01-01 03:00:00,306.0,-396.0,10.8,18.0,7.2,10.8,10.8,14.4,10.8,7.2,396.0,396.0,10.8,-0.0,61.2,21.6,10.8,-306.0,93.6,-32.4,-7.2,21.6,-3.6,41.396,94.624,90.06,87.187,88.712,88.966,88.915,90.319,88.562,84.489
7,2017-01-01 03:30:00,298.8,-392.4,14.4,18.0,7.2,10.8,14.4,10.8,10.8,7.2,392.4,392.4,14.4,0.0,61.2,18.0,10.8,-298.8,93.6,-28.8,-7.2,21.6,-3.6,42.222,95.216,90.725,88.01,89.533,89.663,89.704,91.123,89.23,85.216
8,2017-01-01 04:00:00,288.0,-388.8,10.8,18.0,10.8,14.4,14.4,14.4,10.8,7.2,388.8,388.8,10.8,3.6,57.6,18.0,10.8,-288.0,93.6,-25.2,-3.6,21.6,-0.0,43.023,95.823,91.407,88.806,90.318,90.325,90.454,91.873,89.901,85.908
9,2017-01-01 04:30:00,270.0,-385.2,14.4,21.6,10.8,14.4,18.0,14.4,10.8,10.8,385.2,385.2,14.4,7.2,54.0,18.0,10.8,-270.0,93.6,-18.0,-3.6,21.6,0.0,43.794,96.306,91.949,89.57,91.053,90.89,91.167,92.592,90.439,86.591
10,2017-01-01 05:00:00,244.8,-385.2,18.0,21.6,14.4,18.0,21.6,18.0,14.4,10.8,385.2,385.2,18.0,14.4,50.4,18.0,7.2,-244.8,93.6,-7.2,-0.0,21.6,3.6,44.517,96.798,92.502,90.284,91.716,91.416,91.822,93.241,90.92,87.178
11,2017-01-01 05:30:00,226.8,-381.6,21.6,28.8,14.4,18.0,21.6,21.6,18.0,14.4,381.6,381.6,21.6,14.4,46.8,21.6,7.2,-226.8,93.6,0.0,-0.0,25.2,7.2,45.178,97.211,92.966,90.939,92.344,91.878,92.462,93.869,91.274,87.566
12,2017-01-01 06:00:00,0.0,-183.6,25.2,28.8,18.0,25.2,28.8,25.2,18.0,14.4,183.6,183.6,25.2,28.8,3.6,14.4,3.6,0.0,50.4,50.4,10.8,25.2,10.8,45.72,121.686,120.594,122.715,123.853,122.261,123.782,125.241,121.686,118.349
